file_name;time (s);sent (msg/s);received (msg/s);min (us);median (us);75th (us);95th (us);99th (us)
test-000938-881;266,001;2181;53824;185312134;262256904;263664803;264242608;264445782
test-000938-881;267,001;0;55304;190582096;263407983;264686475;265313391;265477317
test-000938-881;268,001;0;56703;191594265;264559340;265620350;266226139;266427042
test-000938-881;269,001;1290;52825;193222347;266002833;266776218;267341664;267504303
test-000938-881;270,001;0;56238;193674378;266967064;267664739;268277854;268468171
test-000938-881;271,001;1033;55150;194678512;267740470;268497108;269209148;269471998
test-000938-881;272,001;2110;55232;190734758;268353123;269254112;270173141;270415034
test-000938-881;273,001;674;56157;190645307;268626913;270343894;271249138;271455119
test-000938-881;274,001;0;58049;190917622;268791864;271066436;272104307;272373135
test-000938-881;275,001;0;58971;191824149;268663270;271895372;273101846;273395558
test-000938-881;276,001;0;57021;192790786;245188670;272930264;274200995;274422037
test-000938-881;277,001;1404;56966;193797861;270897769;273949925;275111411;275451859
test-000938-881;278,001;0;55761;194828507;247186915;274846888;276062328;276402137
test-000938-881;279,001;0;56216;195845780;246582874;275542203;277086476;277358401
test-000938-881;280,001;1233;55162;196766459;247984913;276461525;277956734;278308010
test-000938-881;281,001;0;58563;197826793;249309204;277371817;278717085;279181802
test-000938-881;282,001;0;58385;198779898;249771537;278279177;279730194;280349185
test-000938-881;283,001;0;49884;199773791;235943441;277964593;280624550;281328360
test-000938-881;284,001;1232;48597;200964470;234616450;279304291;281804991;282357734
test-000938-881;285,001;775;54968;201807105;248637387;281215069;283053461;283343371
test-000938-881;286,000;617;55537;202892609;249379982;282516963;283999701;284317411
test-000938-881;287,001;0;52439;203950645;250680076;283315175;285001801;285305200
test-000938-881;288,001;0;54665;205554332;250904007;284545985;285973187;286307878
test-000938-881;289,001;0;58912;205897449;251814800;285329371;286947932;287263234
test-000938-881;290,001;0;56932;207342833;256794886;285282857;287954755;288344486
test-000938-881;291,001;1233;55344;207913067;258144233;287348119;289137469;289392967
test-000938-881;292,001;4938;54049;209004755;259657576;289525606;290199967;290369332
test-000938-881;293,001;3085;58690;209856624;262045972;290607204;291152954;291327528
test-000938-881;294,001;0;56749;211114004;289747748;291658107;292244600;292417696
test-000938-881;295,001;2137;57599;212233986;291102459;292451126;293176859;293365127
test-000938-881;296,001;645;55722;213224299;291235698;293275757;294188404;294387416
test-000938-881;297,001;0;55833;213815724;265372367;294257637;295198514;295404955
test-000938-881;298,001;1233;54156;215284501;265596743;295072445;296165325;296370741
